Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"207940","SAMSUNG BIOLOGICS LTD","Gesundheitsversorgung","Aktien","1.824.561,77","0,15","1.824.561,77","2.826,00","645,63","Korea","Korea Exchange (Stock Market)","KRW"
"BAP","CREDICORP LTD","Financials","Aktien","1.814.726,06","0,15","1.814.726,06","11.306,00","160,51","Peru","New York Stock Exchange Inc.","USD"
"WIPRO","WIPRO LTD","IT","Aktien","1.800.782,77","0,15","1.800.782,77","233.589,00","7,71","Indien","National Stock Exchange Of India","INR"
"066570","LG ELECTRONICS INC","Zyklische Konsumgüter ","Aktien","1.795.849,79","0,15","1.795.849,79","18.305,00","98,11","Korea","Korea Exchange (Stock Market)","KRW"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","1.760.621,72","0,15","1.760.621,72","251.785,00","6,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6415","SILERGY CORP","IT","Aktien","1.760.555,93","0,15","1.760.555,93","14.000,00","125,75","Taiwan","Taiwan Stock Exchange","TWD"
"2688","ENN ENERGY HOLDINGS LTD","Versorger","Aktien","1.756.827,65","0,15","1.756.827,65","135.800,00","12,94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","1.751.603,09","0,14","1.751.603,09","1.751.603,00","100,00","Vereinigte Staaten","-","USD"
"EMIRATESNBD","EMIRATES NBD","Financials","Aktien","1.751.266,59","0,14","1.751.266,59","436.101,00","4,02","Ver. Arabische Emirate","Dubai Financial Market","AED"
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materialien","Aktien","1.750.384,11","0,14","1.750.384,11","23.216,00","75,40","Chile","Santiago Stock Exchange","CLP"
