Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"YESBANK","YES BANK LTD","Financials","Aktien","320.673,39","0,03","320.673,39","1.904.201,00","0,17","Indien","National Stock Exchange Of India","INR"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Aktien","320.522,97","0,03","320.522,97","275.530,00","1,16","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"772","CHINA LITERATURE LTD","Kommunikation","Aktien","320.094,01","0,03","320.094,01","68.508,00","4,67","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ATHM","AUTOHOME ADS REPRESENTING INC CLA","Kommunikation","Aktien","319.987,93","0,03","319.987,93","13.261,00","24,13","China","New York Stock Exchange Inc.","USD"
"TOP.R","THAI OIL NON-VOTING DR PCL","Energie","Aktien","318.115,24","0,03","318.115,24","199.900,00","1,59","Thailand","Stock Exchange Of Thailand","THB"
"INDUSTOWER","INDUS TOWERS LTD","Kommunikation","Aktien","316.831,60","0,03","316.831,60","113.849,00","2,78","Indien","National Stock Exchange Of India","INR"
"251270","NETMARBLE CORP","Kommunikation","Aktien","316.560,15","0,03","316.560,15","3.703,00","85,49","Korea","Korea Exchange (Stock Market)","KRW"
"KTC.R","KRUNGTHAI CARD NON-VOTING DR PCL","Financials","Aktien","315.050,15","0,03","315.050,15","170.500,00","1,85","Thailand","Stock Exchange Of Thailand","THB"
"GARAN.E","TURKIYE GARANTI BANKASI A","Financials","Aktien","313.505,26","0,03","313.505,26","396.429,00","0,79","Türkei","Istanbul Stock Exchange","TRY"
"BZ","KANZHUN AMERICAN DEPOSITORY SHARES","Kommunikation","Aktien","313.483,80","0,03","313.483,80","14.140,00","22,17","China","NASDAQ","USD"
"BIOCON","BIOCON LTD","Gesundheitsversorgung","Aktien","311.890,57","0,03","311.890,57","71.425,00","4,37","Indien","National Stock Exchange Of India","INR"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrie","Aktien","311.728,31","0,03","311.728,31","40.670,00","7,66","Mexiko","Bolsa Mexicana De Valores","MXN"
"CONCOR","CONTAINER CORPORATION OF INDIA LTD","Industrie","Aktien","311.263,76","0,03","311.263,76","40.059,00","7,77","Indien","National Stock Exchange Of India","INR"
"UNVR","UNILEVER INDONESIA","Nichtzyklische Konsumgüter","Aktien","310.998,68","0,03","310.998,68","1.294.770,00","0,24","Indonesien","Indonesia Stock Exchange","IDR"
"PGE","PGE POLSKA GRUPA ENERGETYCZNA SA","Versorger","Aktien","310.791,46","0,03","310.791,46","143.956,00","2,16","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"5269","ASMEDIA TECHNOLOGY INC","IT","Aktien","310.416,59","0,03","310.416,59","5.000,00","62,08","Taiwan","Taiwan Stock Exchange","TWD"
"TORNTPHARM","TORRENT PHARMACEUTICALS LTD","Gesundheitsversorgung","Aktien","309.926,85","0,03","309.926,85","8.540,00","36,29","Indien","National Stock Exchange Of India","INR"
"293490","KAKAO GAMES CORP","Kommunikation","Aktien","308.875,07","0,03","308.875,07","5.106,00","60,49","Korea","Korea Exchange (Kosdaq)","KRW"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Zyklische Konsumgüter ","Aktien","308.712,00","0,03","308.712,00","270.800,00","1,14","China","New York Stock Exchange Inc.","USD"
"BELA","JUMBO SA","Zyklische Konsumgüter ","Aktien","308.319,67","0,03","308.319,67","20.575,00","14,99","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"HARTA","HARTALEGA HOLDINGS","Gesundheitsversorgung","Aktien","307.733,99","0,03","307.733,99","294.900,00","1,04","Malaysia","Bursa Malaysia","MYR"
"ARI","AFRICAN RAINBOW MINERAL LTD","Materialien","Aktien","306.911,01","0,03","306.911,01","17.145,00","17,90","Südafrika","Johannesburg Stock Exchange","ZAR"
"MABANEE","MABANEE COMPANY","Immobilien","Aktien","306.279,40","0,03","306.279,40","102.975,00","2,97","Kuwait","Kuwait Stock Exchange","KWD"
"2196","SHANGHAI FOSUN PHARMACEUTICAL (GRO","Gesundheitsversorgung","Aktien","304.943,37","0,03","304.943,37","85.500,00","3,57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2633","TAIWAN HIGH SPEED RAIL CORP","Industrie","Aktien","304.195,92","0,03","304.195,92","301.000,00","1,01","Taiwan","Taiwan Stock Exchange","TWD"
"189","DONGYUE GROUP LTD","Materialien","Aktien","304.287,58","0,03","304.287,58","228.000,00","1,33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BJAZ","BANK ALJAZIRA","Financials","Aktien","303.427,75","0,03","303.427,75","45.171,00","6,72","Saudi-Arabien","Saudi Stock Exchange","SAR"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","Versorger","Aktien","301.730,61","0,02","301.730,61","118.502,00","2,55","Brasilien","XBSP","BRL"
"CMPC","EMPRESAS CMPC SA","Materialien","Aktien","301.268,05","0,02","301.268,05","184.458,00","1,63","Chile","Santiago Stock Exchange","CLP"
"PRIO3","PETRO RIO SA","Energie","Aktien","300.823,08","0,02","300.823,08","58.844,00","5,11","Brasilien","XBSP","BRL"
"4002","AL MOUWASAT MEDICAL SERVICES","Gesundheitsversorgung","Aktien","300.799,79","0,02","300.799,79","5.234,00","57,47","Saudi-Arabien","Saudi Stock Exchange","SAR"
"3998","BOSIDENG INTERNATIONAL LTD","Zyklische Konsumgüter ","Aktien","297.900,95","0,02","297.900,95","596.000,00","0,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PPC","PUBLIC POWER CORPORATION SA","Versorger","Aktien","297.792,75","0,02","297.792,75","36.821,00","8,09","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Industrie","Aktien","297.730,12","0,02","297.730,12","123.459,00","2,41","Brasilien","XBSP","BRL"
"018880","HANON SYSTEMS","Zyklische Konsumgüter ","Aktien","297.540,04","0,02","297.540,04","31.641,00","9,40","Korea","Korea Exchange (Stock Market)","KRW"
"817","CHINA JINMAO HOLDINGS GROUP LTD","Immobilien","Aktien","295.472,09","0,02","295.472,09","992.000,00","0,30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2018","AAC TECHNOLOGIES HOLDINGS INC","IT","Aktien","294.858,65","0,02","294.858,65","118.164,00","2,50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Versorger","Aktien","294.576,83","0,02","294.576,83","35.181,00","8,37","Brasilien","XBSP","BRL"
"BRPT","BARITO PACIFIC","Materialien","Aktien","293.635,29","0,02","293.635,29","4.764.900,00","0,06","Indonesien","Indonesia Stock Exchange","IDR"
"392","BEIJING ENTERPRISES HOLDINGS LTD","Versorger","Aktien","292.485,87","0,02","292.485,87","88.000,00","3,32","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TOTS3","TOTVS SA","IT","Aktien","292.214,67","0,02","292.214,67","45.300,00","6,45","Brasilien","XBSP","BRL"
"JOBS","51JOB ADR REPRESENTING INC","Industrie","Aktien","291.257,75","0,02","291.257,75","5.215,00","55,85","China","NASDAQ","USD"
"MRF","MRF LTD","Zyklische Konsumgüter ","Aktien","290.123,96","0,02","290.123,96","331,00","876,51","Indien","National Stock Exchange Of India","INR"
"271560","ORION CORP","Nichtzyklische Konsumgüter","Aktien","290.015,88","0,02","290.015,88","4.142,00","70,02","Korea","Korea Exchange (Stock Market)","KRW"
"371","BEIJING ENTERPRISES WATER GROUP LT","Versorger","Aktien","289.545,68","0,02","289.545,68","750.000,00","0,39","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TBS","TIGER BRANDS LTD","Nichtzyklische Konsumgüter","Aktien","288.128,92","0,02","288.128,92","28.503,00","10,11","Südafrika","Johannesburg Stock Exchange","ZAR"
"BBSE3","BB SEGURIDADE SA","Financials","Aktien","287.902,51","0,02","287.902,51","64.426,00","4,47","Brasilien","XBSP","BRL"
"CPS","CYFROWY POLSAT SA","Kommunikation","Aktien","286.957,85","0,02","286.957,85","47.135,00","6,09","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"LEGN","LEGEND BIOTECH ADR REP CORP","Gesundheitsversorgung","Aktien","286.750,00","0,02","286.750,00","7.750,00","37,00","China","NASDAQ","USD"
"GPSC.R","GLOBAL POWER SYNERGY PCL NON-VOTIN","Versorger","Aktien","286.380,57","0,02","286.380,57","139.600,00","2,05","Thailand","Stock Exchange Of Thailand","THB"
"TOWR","SARANA MENARA NUSANTARA","Kommunikation","Aktien","286.204,13","0,02","286.204,13","3.911.000,00","0,07","Indonesien","Indonesia Stock Exchange","IDR"
"005385","HYUNDAI MOTOR S1 PREF","Zyklische Konsumgüter ","Aktien","286.073,68","0,02","286.073,68","4.100,00","69,77","Korea","Korea Exchange (Stock Market)","KRW"
"6078","HYGEIA HEALTHCARE HOLDINGS LTD","Gesundheitsversorgung","Aktien","283.463,30","0,02","283.463,30","58.200,00","4,87","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3993","CHINA MOLYBDENUM LTD H","Materialien","Aktien","282.742,31","0,02","282.742,31","579.000,00","0,49","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"THB","THB CASH","Cash und/oder Derivate","Geldmarkt","282.361,33","0,02","282.361,33","9.359.572,00","3,02","Thailand","-","THB"
"1776","GF SECURITIES LTD H","Financials","Aktien","281.821,90","0,02","281.821,90","203.000,00","1,39","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TU.R","THAI UNION GROUP NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","281.293,61","0,02","281.293,61","501.300,00","0,56","Thailand","Stock Exchange Of Thailand","THB"
"HCM","HUTCHMED CHINA ADR LTD","Gesundheitsversorgung","Aktien","280.969,92","0,02","280.969,92","15.204,00","18,48","China","NASDAQ","USD"
"4013","DR SULAIMAN AL HABIB MEDICAL GRP","Gesundheitsversorgung","Aktien","280.782,09","0,02","280.782,09","5.865,00","47,87","Saudi-Arabien","Saudi Stock Exchange","SAR"
"ZOMATO","ZOMATO LTD","Zyklische Konsumgüter ","Aktien","280.536,79","0,02","280.536,79","260.418,00","1,08","Indien","National Stock Exchange Of India","INR"
"ORDS","OOREDOO","Kommunikation","Aktien","278.700,45","0,02","278.700,45","137.342,00","2,03","Qatar","Qatar Exchange","QAR"
"SIME","SIME DARBY","Industrie","Aktien","278.183,14","0,02","278.183,14","510.948,00","0,54","Malaysia","Bursa Malaysia","MYR"
"1579","YIHAI INTERNATIONAL HOLDING LTD","Nichtzyklische Konsumgüter","Aktien","277.605,91","0,02","277.605,91","89.000,00","3,12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"8464","NIEN MADE ENTERPRISE LTD","Zyklische Konsumgüter ","Aktien","277.258,46","0,02","277.258,46","24.000,00","11,55","Taiwan","Taiwan Stock Exchange","TWD"
"HDFCAMC","HDFC ASSET MANAGEMENT COMPANY LTD","Financials","Aktien","276.829,14","0,02","276.829,14","9.737,00","28,43","Indien","National Stock Exchange Of India","INR"
"KCHOL.E","KOC HOLDING A","Industrie","Aktien","275.502,56","0,02","275.502,56","131.708,00","2,09","Türkei","Istanbul Stock Exchange","TRY"
"6865","FLAT GLASS GROUP LTD H","IT","Aktien","275.356,02","0,02","275.356,02","60.000,00","4,59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1766","CRRC CORP LTD H","Industrie","Aktien","274.967,40","0,02","274.967,40","668.000,00","0,41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1359","CHINA CINDA ASSET MANAGEMENT LTD H","Financials","Aktien","274.691,28","0,02","274.691,28","1.580.000,00","0,17","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"096530","SEEGENE INC","Gesundheitsversorgung","Aktien","274.146,14","0,02","274.146,14","6.100,00","44,94","Korea","Korea Exchange (Kosdaq)","KRW"
"020150","ILJIN MATERIALS","IT","Aktien","272.898,27","0,02","272.898,27","3.893,00","70,10","Korea","Korea Exchange (Stock Market)","KRW"
"051915","LG CHEM PREFERRED STOCK LTD","Materialien","Aktien","272.332,59","0,02","272.332,59","1.299,00","209,65","Korea","Korea Exchange (Stock Market)","KRW"
"ANTM","ANEKA TAMBANG","Materialien","Aktien","271.145,80","0,02","271.145,80","1.506.600,00","0,18","Indonesien","Indonesia Stock Exchange","IDR"
"137310","SD BIOSENSOR INC","Gesundheitsversorgung","Aktien","271.023,41","0,02","271.023,41","5.955,00","45,51","Korea","Korea Exchange (Stock Market)","KRW"
"2588","BOC AVIATION LTD","Industrie","Aktien","270.700,79","0,02","270.700,79","36.260,00","7,47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"028670","PAN OCEAN LTD","Industrie","Aktien","270.633,24","0,02","270.633,24","46.296,00","5,85","Korea","Korea Exchange (Stock Market)","KRW"
"OSP.R","OSOTSPA PCL NON-VOTING DR","Nichtzyklische Konsumgüter","Aktien","270.167,43","0,02","270.167,43","250.500,00","1,08","Thailand","Stock Exchange Of Thailand","THB"
"696","TRAVELSKY TECHNOLOGY LTD H","IT","Aktien","269.925,60","0,02","269.925,60","159.000,00","1,70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"WB","WEIBO ADR REPRESENTING CORP","Kommunikation","Aktien","268.864,32","0,02","268.864,32","10.992,00","24,46","China","NASDAQ","USD"
"285","BYD ELECTRONIC (INTERNATIONAL) LTD","IT","Aktien","268.537,31","0,02","268.537,31","111.500,00","2,41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"8210","BUPA ARABIA","Financials","Aktien","267.302,63","0,02","267.302,63","6.137,00","43,56","Saudi-Arabien","Saudi Stock Exchange","SAR"
"AIRPORT","MALAYSIA AIRPORTS HOLDINGS","Industrie","Aktien","267.172,40","0,02","267.172,40","175.920,00","1,52","Malaysia","Bursa Malaysia","MYR"
"1882","HAITIAN INTERNATIONAL LTD","Industrie","Aktien","266.949,61","0,02","266.949,61","113.000,00","2,36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"128940","HANMI PHARM LTD","Gesundheitsversorgung","Aktien","266.973,34","0,02","266.973,34","1.210,00","220,64","Korea","Korea Exchange (Stock Market)","KRW"
"4743","ONENESS BIOTECH LTD","Gesundheitsversorgung","Aktien","266.676,07","0,02","266.676,07","35.000,00","7,62","Taiwan","Gretai Securities Market","TWD"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash und/oder Derivate","Cash Collateral and Margins","266.000,00","0,02","266.000,00","266.000,00","100,00","Vereinigte Staaten","-","USD"
"BJC.R","BERLI JUCKER NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","264.497,32","0,02","264.497,32","252.300,00","1,05","Thailand","Stock Exchange Of Thailand","THB"
"TBIG","TOWER BERSAMA INFRASTRUCTURE","Kommunikation","Aktien","263.856,30","0,02","263.856,30","1.294.800,00","0,20","Indonesien","Indonesia Stock Exchange","IDR"
"005940","NH INVESTMENT & SECURITIES LTD","Financials","Aktien","263.084,06","0,02","263.084,06","28.345,00","9,28","Korea","Korea Exchange (Stock Market)","KRW"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Financials","Aktien","261.566,19","0,02","261.566,19","40.951,00","6,39","Brasilien","XBSP","BRL"
"SITESB.1","TELESITES B-1","Kommunikation","Aktien","261.179,56","0,02","261.179,56","215.800,00","1,21","Mexiko","Bolsa Mexicana De Valores","MXN"
"TCELL.E","TURKCELL ILETISIM HIZMETLERI A","Kommunikation","Aktien","260.860,51","0,02","260.860,51","186.042,00","1,40","Türkei","Istanbul Stock Exchange","TRY"
"1199","COSCO SHIPPING PORTS LTD","Industrie","Aktien","260.706,16","0,02","260.706,16","330.000,00","0,79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2050","SAVOLA GROUP","Nichtzyklische Konsumgüter","Aktien","259.778,01","0,02","259.778,01","28.748,00","9,04","Saudi-Arabien","Saudi Stock Exchange","SAR"
"PPH","PEPKOR HOLDINGS SHS LTD","Zyklische Konsumgüter ","Aktien","258.088,09","0,02","258.088,09","191.957,00","1,34","Südafrika","Johannesburg Stock Exchange","ZAR"
"IGL","INDRAPRASTHA GAS LTD","Versorger","Aktien","257.861,06","0,02","257.861,06","51.320,00","5,02","Indien","National Stock Exchange Of India","INR"
"123","YUEXIU PROPERTY COMPANY LTD","Immobilien","Aktien","257.549,19","0,02","257.549,19","255.998,00","1,01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6060","ZHONGAN ONLINE P & C INSURANCE COR","Financials","Aktien","257.252,70","0,02","257.252,70","84.732,00","3,04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MER","MANILA ELECTRIC","Versorger","Aktien","256.209,81","0,02","256.209,81","35.670,00","7,18","Philippinen","Philippine Stock Exchange Inc.","PHP"
"1888","KINGBOARD LAMINATES HOLDINGS LTD","IT","Aktien","255.977,76","0,02","255.977,76","173.219,00","1,48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9922","JIUMAOJIU INTERNATIONAL HOLDINGS L","Zyklische Konsumgüter ","Aktien","255.920,03","0,02","255.920,03","134.000,00","1,91","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PETDAG","PETRONAS DAGANGAN","Energie","Aktien","253.604,68","0,02","253.604,68","50.573,00","5,01","Malaysia","Bursa Malaysia","MYR"
"6110","TOPSPORTS INTERNATIONAL HOLDINGS L","Zyklische Konsumgüter ","Aktien","253.342,88","0,02","253.342,88","270.000,00","0,94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"241560","DOOSAN BOBCAT INC","Industrie","Aktien","253.138,69","0,02","253.138,69","8.358,00","30,29","Korea","Korea Exchange (Stock Market)","KRW"
"2128","CHINA LESSO GROUP HOLDINGS LTD","Industrie","Aktien","252.202,59","0,02","252.202,59","182.000,00","1,39","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4210","SAUDI RESEARCH AND MEDIA GROUP","Kommunikation","Aktien","252.219,11","0,02","252.219,11","3.800,00","66,37","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1585","YADEA GROUP HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","251.647,79","0,02","251.647,79","218.000,00","1,15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3360","FAR EAST HORIZON LTD","Financials","Aktien","250.663,46","0,02","250.663,46","298.000,00","0,84","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INKP","INDAH KIAT PULP & PAPER","Materialien","Aktien","250.423,87","0,02","250.423,87","436.104,00","0,57","Indonesien","Indonesia Stock Exchange","IDR"
"200596","ANHUI GUJING DISTILLERY LTD B","Nichtzyklische Konsumgüter","Aktien","250.138,70","0,02","250.138,70","17.700,00","14,13","China","Shenzhen Stock Exchange","HKD"
"SMGR","SEMEN INDONESIA (PERSERO)","Materialien","Aktien","247.127,98","0,02","247.127,98","507.768,00","0,49","Indonesien","Indonesia Stock Exchange","IDR"
"763","ZTE CORP H","IT","Aktien","245.953,01","0,02","245.953,01","120.400,00","2,04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"008560","MERITZ SECURITIES LTD","Financials","Aktien","245.662,54","0,02","245.662,54","53.029,00","4,63","Korea","Korea Exchange (Stock Market)","KRW"
"RLX","RLX TECHNOLOGY AMERICAN DEPOSITARY","Nichtzyklische Konsumgüter","Aktien","245.426,22","0,02","245.426,22","104.883,00","2,34","China","New York Stock Exchange Inc.","USD"
"EGCO.R","ELECTRICITY GENERATING NON-VOTING","Versorger","Aktien","244.917,41","0,02","244.917,41","47.200,00","5,19","Thailand","Stock Exchange Of Thailand","THB"
"780","TONGCHENG TRAVEL HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","244.764,66","0,02","244.764,66","157.200,00","1,56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2689","NINE DRAGONS PAPER HOLDINGS LTD","Materialien","Aktien","244.486,49","0,02","244.486,49","274.000,00","0,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SAWAD.R","SRISAWAD CORPORATION PCL NON-VOTIN","Financials","Aktien","243.614,15","0,02","243.614,15","144.200,00","1,69","Thailand","Stock Exchange Of Thailand","THB"
"AED","AED CASH","Cash und/oder Derivate","Geldmarkt","243.486,39","0,02","243.486,39","894.338,00","27,23","Ver. Arabische Emirate","-","AED"
"TM","TELEKOM MALAYSIA","Kommunikation","Aktien","243.177,41","0,02","243.177,41","206.985,00","1,17","Malaysia","Bursa Malaysia","MYR"
"196170","ALTEOGEN INC","Gesundheitsversorgung","Aktien","242.718,66","0,02","242.718,66","5.002,00","48,52","Korea","Korea Exchange (Kosdaq)","KRW"
"068760","CELLTRION PHARM INC","Gesundheitsversorgung","Aktien","242.528,80","0,02","242.528,80","3.169,00","76,53","Korea","Korea Exchange (Kosdaq)","KRW"
"TRUE.R","TRUE CORPORATION NON-VOTING DR PCL","Kommunikation","Aktien","241.548,37","0,02","241.548,37","1.614.259,00","0,15","Thailand","Stock Exchange Of Thailand","THB"
"MTC.R","MUANGTHAI CAPITAL ORS NON-VOTING D","Financials","Aktien","241.116,22","0,02","241.116,22","153.700,00","1,57","Thailand","Stock Exchange Of Thailand","THB"
"HYPE3","HYPERMARCAS SA","Gesundheitsversorgung","Aktien","240.907,62","0,02","240.907,62","37.289,00","6,46","Brasilien","XBSP","BRL"
"APPC","ADVANCED PETROCHEMICAL","Materialien","Aktien","240.663,73","0,02","240.663,73","11.575,00","20,79","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2357","AVICHINA INDUSTRY & TECHNOLOGY LTD","Industrie","Aktien","240.457,14","0,02","240.457,14","450.000,00","0,53","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"754","HOPSON DEVELOPMENT HOLDINGS LTD","Immobilien","Aktien","238.687,57","0,02","238.687,57","126.330,00","1,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AMBANK","AMMB HOLDINGS","Financials","Aktien","237.653,16","0,02","237.653,16","296.200,00","0,80","Malaysia","Bursa Malaysia","MYR"
"SISE.E","TURKIYE SISE VE CAM FABRIKALARI A","Industrie","Aktien","237.420,79","0,02","237.420,79","267.369,00","0,89","Türkei","Istanbul Stock Exchange","TRY"
"QFIN","360 DIGITECH ADR INC","Financials","Aktien","236.383,56","0,02","236.383,56","14.811,00","15,96","China","NASDAQ","USD"
"GCARSOA1","GRUPO CARSO SERIES A1","Industrie","Aktien","236.053,27","0,02","236.053,27","77.110,00","3,06","Mexiko","Bolsa Mexicana De Valores","MXN"
"KTB.R","KRUNG THAI BANK PUBLIC NON-VOTING","Financials","Aktien","235.997,28","0,02","235.997,28","575.200,00","0,41","Thailand","Stock Exchange Of Thailand","THB"
"2607","SHANGHAI PHARMACEUTICALS HOLDING L","Gesundheitsversorgung","Aktien","234.710,71","0,02","234.710,71","131.900,00","1,78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3759","PHARMARON BEIJING LTD H","Gesundheitsversorgung","Aktien","232.229,69","0,02","232.229,69","22.400,00","10,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"8454","MOMO COM INC","Zyklische Konsumgüter ","Aktien","232.106,95","0,02","232.106,95","7.000,00","33,16","Taiwan","Taiwan Stock Exchange","TWD"
"2869","GREENTOWN SERVICE GROUP LTD","Immobilien","Aktien","231.513,82","0,02","231.513,82","264.000,00","0,88","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"WPRTS","WESTPORTS HOLDINGSINARY","Industrie","Aktien","230.249,66","0,02","230.249,66","249.800,00","0,92","Malaysia","Bursa Malaysia","MYR"
"2060","NATIONAL INDUSTRIALIZATION","Materialien","Aktien","229.594,35","0,02","229.594,35","37.126,00","6,18","Saudi-Arabien","Saudi Stock Exchange","SAR"
"6818","CHINA EVERBRIGHT BANK LTD H","Financials","Aktien","227.945,95","0,02","227.945,95","617.000,00","0,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AKBNK.E","AKBANK A","Financials","Aktien","227.720,11","0,02","227.720,11","482.116,00","0,47","Türkei","Istanbul Stock Exchange","TRY"
"3900","GREENTOWN CHINA LTD","Immobilien","Aktien","227.010,20","0,02","227.010,20","155.500,00","1,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"753","AIR CHINA LTD H","Industrie","Aktien","226.957,79","0,02","226.957,79","330.000,00","0,69","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2250","SAUDI INDUSTRIAL INVESTMENT GROUP","Materialien","Aktien","226.044,02","0,02","226.044,02","23.523,00","9,61","Saudi-Arabien","Saudi Stock Exchange","SAR"
"078930","GS HOLDINGS","Energie","Aktien","225.608,47","0,02","225.608,47","6.859,00","32,89","Korea","Korea Exchange (Stock Market)","KRW"
"576","ZHEJIANG EXPRESSWAY LTD H","Industrie","Aktien","224.856,19","0,02","224.856,19","252.000,00","0,89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1898","CHINA COAL ENERGY LTD H","Energie","Aktien","222.954,01","0,02","222.954,01","338.000,00","0,66","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GRUPOSURA","GRUPO DE INVERSIONES SURAMERICANA","Financials","Aktien","220.699,58","0,02","220.699,58","26.129,00","8,45","Kolumbien","Bolsa De Valores De Colombia","COP"
"QL","QL RESOURCES","Nichtzyklische Konsumgüter","Aktien","218.911,71","0,02","218.911,71","197.150,00","1,11","Malaysia","Bursa Malaysia","MYR"
"853","MICROPORT SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","215.171,43","0,02","215.171,43","105.200,00","2,05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TIMS3","TIM SA","Kommunikation","Aktien","215.019,35","0,02","215.019,35","85.781,00","2,51","Brasilien","XBSP","BRL"
"1833","PING AN HEALTHCARE AND TECHNOLOGY","Zyklische Konsumgüter ","Aktien","214.706,11","0,02","214.706,11","79.600,00","2,70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HLFG","HONG LEONG FINANCIAL GROUP","Financials","Aktien","214.588,43","0,02","214.588,43","46.707,00","4,59","Malaysia","Bursa Malaysia","MYR"
"900926","SHANGHAI BAOSIGHT SOFTWARE LTD B","IT","Aktien","214.164,90","0,02","214.164,90","54.900,00","3,90","China","Shanghai Stock Exchange","USD"
"CUERVO*","BECLE SA DE CV","Nichtzyklische Konsumgüter","Aktien","213.936,07","0,02","213.936,07","96.400,00","2,22","Mexiko","Bolsa Mexicana De Valores","MXN"
"ELET3","CENTRAIS ELETR BRAS-ELETROBRAS","Versorger","Aktien","212.537,01","0,02","212.537,01","30.953,00","6,87","Brasilien","XBSP","BRL"
"GLO","GLOBE TEL INC","Kommunikation","Aktien","212.309,29","0,02","212.309,29","4.305,00","49,32","Philippinen","Philippine Stock Exchange Inc.","PHP"
"OPL","ORANGE POLSKA SA","Kommunikation","Aktien","212.134,81","0,02","212.134,81","124.311,00","1,71","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"030000","CHEIL WORLDWIDE INC","Kommunikation","Aktien","211.270,67","0,02","211.270,67","11.482,00","18,40","Korea","Korea Exchange (Stock Market)","KRW"
"017670","SK TELECOM LTD","Kommunikation","Aktien","206.095,66","0,02","206.095,66","4.441,00","46,41","Korea","Korea Exchange (Stock Market)","KRW"
"1951","JINXIN FERTILITY GROUP LTD","Gesundheitsversorgung","Aktien","205.813,92","0,02","205.813,92","200.000,00","1,03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MOMO","HELLO GROUP ADR INC","Kommunikation","Aktien","204.584,40","0,02","204.584,40","26.919,00","7,60","China","NASDAQ","USD"
