Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CPI","CAPITEC LTD","Financials","Equity","1,878,919.74","0.16","1,878,919.74","13,872.00","135.45","South Africa","Johannesburg Stock Exchange","ZAR"
"7010","SAUDI TELECOM","Communication","Equity","1,877,935.76","0.16","1,877,935.76","63,355.00","29.64","Saudi Arabia","Saudi Stock Exchange","SAR"
"857","PETROCHINA LTD H","Energy","Equity","1,869,002.63","0.15","1,869,002.63","3,646,000.00","0.51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBIN","STATE BANK OF INDIA","Financials","Equity","1,850,340.75","0.15","1,850,340.75","301,238.00","6.14","India","National Stock Exchange Of India","INR"
"TCOM","TRIP COM GROUP ADR LTD","Consumer Discretionary","Equity","1,848,580.30","0.15","1,848,580.30","87,115.00","21.22","China","NASDAQ","USD"
"ANG","ANGLOGOLD ASHANTI LTD","Materials","Equity","1,840,007.61","0.15","1,840,007.61","71,243.00","25.83","South Africa","Johannesburg Stock Exchange","ZAR"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","1,839,776.64","0.15","1,839,776.64","2,259,705,660.00","0.08","Korea (South)","-","KRW"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","1,832,889.32","0.15","1,832,889.32","141,400.00","12.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","1,824,561.77","0.15","1,824,561.77","2,826.00","645.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BAP","CREDICORP LTD","Financials","Equity","1,814,726.06","0.15","1,814,726.06","11,306.00","160.51","Peru","New York Stock Exchange Inc.","USD"
"WIPRO","WIPRO LTD","Information Technology","Equity","1,800,782.77","0.15","1,800,782.77","233,589.00","7.71","India","National Stock Exchange Of India","INR"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","1,795,849.79","0.15","1,795,849.79","18,305.00","98.11","Korea (South)","Korea Exchange (Stock Market)","KRW"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Consumer Staples","Equity","1,760,621.72","0.15","1,760,621.72","251,785.00","6.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6415","SILERGY CORP","Information Technology","Equity","1,760,555.93","0.15","1,760,555.93","14,000.00","125.75","Taiwan","Taiwan Stock Exchange","TWD"
"2688","ENN ENERGY HOLDINGS LTD","Utilities","Equity","1,756,827.65","0.15","1,756,827.65","135,800.00","12.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,751,603.09","0.14","1,751,603.09","1,751,603.00","100.00","United States","-","USD"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","1,751,266.59","0.14","1,751,266.59","436,101.00","4.02","United Arab Emirates","Dubai Financial Market","AED"
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","1,750,384.11","0.14","1,750,384.11","23,216.00","75.40","Chile","Santiago Stock Exchange","CLP"
"XPEV","XPENG ADR REPRESENTING INC","Consumer Discretionary","Equity","1,736,913.75","0.14","1,736,913.75","66,625.00","26.07","China","New York Stock Exchange Inc.","USD"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Equity","1,732,081.42","0.14","1,732,081.42","3,222,687.00","0.54","Indonesia","Indonesia Stock Exchange","IDR"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","1,726,596.37","0.14","1,726,596.37","1,557,840.00","1.11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1326","FORMOSA CHEMICALS & FIBRE CORP","Materials","Equity","1,716,536.74","0.14","1,716,536.74","605,250.00","2.84","Taiwan","Taiwan Stock Exchange","TWD"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","1,708,737.52","0.14","1,708,737.52","201,000.00","8.50","Taiwan","Taiwan Stock Exchange","TWD"
"MAYBANK","MALAYAN BANKING","Financials","Equity","1,694,602.44","0.14","1,694,602.44","792,913.00","2.14","Malaysia","Bursa Malaysia","MYR"
"6098","COUNTRY GARDEN SERVICES HOLDINGS L","Real Estate","Equity","1,687,571.91","0.14","1,687,571.91","342,000.00","4.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","1,662,543.59","0.14","1,662,543.59","145,892.00","11.40","India","National Stock Exchange Of India","INR"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Utilities","Equity","1,659,495.51","0.14","1,659,495.51","67,289.00","24.66","India","National Stock Exchange Of India","INR"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","1,636,201.52","0.14","1,636,201.52","4,491,000.00","0.36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3034","NOVATEK MICROELECTRONICS CORP","Information Technology","Equity","1,634,343.36","0.14","1,634,343.36","99,000.00","16.51","Taiwan","Taiwan Stock Exchange","TWD"
"968","XINYI SOLAR HOLDINGS LTD","Information Technology","Equity","1,624,491.84","0.13","1,624,491.84","857,473.00","1.89","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","1,624,020.72","0.13","1,624,020.72","125,619.00","12.93","Taiwan","Taiwan Stock Exchange","TWD"
"2883","CHINA DEVELOPMENT FINANCIAL HOLDIN","Financials","Equity","1,618,803.58","0.13","1,618,803.58","2,592,738.00","0.62","Taiwan","Taiwan Stock Exchange","TWD"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","1,615,655.59","0.13","1,615,655.59","1,778,727.00","0.91","Taiwan","Taiwan Stock Exchange","TWD"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","1,603,630.14","0.13","1,603,630.14","608,518.00","2.64","Brazil","XBSP","BRL"
"5880","TAIWAN COOPERATIVE FINANCIAL HOLDI","Financials","Equity","1,585,054.27","0.13","1,585,054.27","1,679,802.00","0.94","Taiwan","Taiwan Stock Exchange","TWD"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","1,567,955.92","0.13","1,567,955.92","570,488.00","2.75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1101","TAIWAN CEMENT CORP","Materials","Equity","1,549,054.34","0.13","1,549,054.34","922,566.00","1.68","Taiwan","Taiwan Stock Exchange","TWD"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","1,548,662.46","0.13","1,548,662.46","281,627.00","5.50","India","National Stock Exchange Of India","INR"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","1,544,503.66","0.13","1,544,503.66","1,015,297.00","1.52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","1,523,214.80","0.13","1,523,214.80","27,882.00","54.63","India","National Stock Exchange Of India","INR"
"ITC","ITC LTD","Consumer Staples","Equity","1,521,619.61","0.13","1,521,619.61","500,462.00","3.04","India","National Stock Exchange Of India","INR"
"960","LONGFOR GROUP HOLDINGS LTD","Real Estate","Equity","1,521,265.31","0.13","1,521,265.31","307,500.00","4.95","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ASII","ASTRA INTERNATIONAL","Consumer Discretionary","Equity","1,517,271.10","0.13","1,517,271.10","3,466,661.00","0.44","Indonesia","Indonesia Stock Exchange","IDR"
"SCC.R","SIAM CEMENT NON-VOTING DR PCL","Materials","Equity","1,506,976.39","0.12","1,506,976.39","132,500.00","11.37","Thailand","Stock Exchange Of Thailand","THB"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","1,504,625.62","0.12","1,504,625.62","496,101.00","3.03","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
