Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","36,342,527.20","0.08","36,342,527.20","591,320.00","61.46","United States","New York Stock Exchange Inc.","USD"
"MCK","MCKESSON CORP","Health Care","Equity","36,336,886.28","0.08","36,336,886.28","129,719.00","280.12","United States","New York Stock Exchange Inc.","USD"
"DOW","DOW INC","Materials","Equity","36,302,273.13","0.08","36,302,273.13","598,751.00","60.63","United States","New York Stock Exchange Inc.","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","36,276,076.80","0.08","36,276,076.80","223,155.00","162.56","United States","NASDAQ","USD"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","36,241,421.60","0.08","36,241,421.60","1,191,760.00","30.41","United States","New York Stock Exchange Inc.","USD"
"8058","MITSUBISHI CORP","Industrials","Equity","36,227,457.59","0.08","36,227,457.59","1,027,168.00","35.27","Japan","Tokyo Stock Exchange","JPY"
"ROP","ROPER TECHNOLOGIES INC","Industrials","Equity","36,097,744.41","0.08","36,097,744.41","82,719.00","436.39","United States","New York Stock Exchange Inc.","USD"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","36,090,970.64","0.08","36,090,970.64","198,449.00","181.87","Japan","Tokyo Stock Exchange","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","35,850,011.38","0.08","35,850,011.38","1,220,595.00","29.37","Japan","Tokyo Stock Exchange","JPY"
"7741","HOYA CORP","Health Care","Equity","35,766,921.87","0.08","35,766,921.87","301,323.00","118.70","Japan","Tokyo Stock Exchange","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","35,763,076.14","0.08","35,763,076.14","1,074,978.00","33.27","Japan","Tokyo Stock Exchange","JPY"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","35,718,423.77","0.08","35,718,423.77","1,475,109.00","24.21","Singapore","Singapore Exchange","SGD"
"ABX","BARRICK GOLD CORP","Materials","Equity","35,301,856.03","0.08","35,301,856.03","1,442,254.00","24.48","Canada","Toronto Stock Exchange","CAD"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","35,293,651.80","0.08","35,293,651.80","232,501.00","151.80","United States","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","35,157,189.90","0.08","35,157,189.90","473,370.00","74.27","United States","New York Stock Exchange Inc.","USD"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","34,772,994.20","0.08","34,772,994.20","66,305.00","524.44","United States","NASDAQ","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","34,652,164.55","0.08","34,652,164.55","201,595.00","171.89","United States","New York Stock Exchange Inc.","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","34,476,984.42","0.08","34,476,984.42","230,677.00","149.46","United States","NASDAQ","USD"
"SIKA","SIKA AG","Materials","Equity","34,267,924.31","0.08","34,267,924.31","113,183.00","302.77","Switzerland","SIX Swiss Exchange","CHF"
"SNPS","SYNOPSYS INC","Information Technology","Equity","34,185,953.40","0.08","34,185,953.40","113,635.00","300.84","United States","NASDAQ","USD"
"6501","HITACHI LTD","Industrials","Equity","34,154,169.97","0.08","34,154,169.97","755,136.00","45.23","Japan","Tokyo Stock Exchange","JPY"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","34,106,241.11","0.08","34,106,241.11","1,234,050.00","27.64","Japan","Tokyo Stock Exchange","JPY"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","34,036,568.73","0.08","34,036,568.73","261,237.00","130.29","United States","New York Stock Exchange Inc.","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","33,964,300.00","0.08","33,964,300.00","170,000.00","199.79","United States","NASDAQ","USD"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","33,770,024.68","0.08","33,770,024.68","251,396.00","134.33","United States","New York Stock Exchange Inc.","USD"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","33,706,625.26","0.08","33,706,625.26","171,186.00","196.90","France","Nyse Euronext - Euronext Paris","EUR"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","33,411,726.30","0.08","33,411,726.30","146,254.00","228.45","United States","NASDAQ","USD"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","33,390,320.10","0.08","33,390,320.10","153,915.00","216.94","United States","New York Stock Exchange Inc.","USD"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","33,262,743.31","0.08","33,262,743.31","901,956.00","36.88","Australia","Asx - All Markets","AUD"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","33,231,902.22","0.08","33,231,902.22","277,418.00","119.79","United States","New York Stock Exchange Inc.","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","33,086,962.69","0.07","33,086,962.69","22,523.00","1,469.03","United States","New York Stock Exchange Inc.","USD"
"VOD","VODAFONE GROUP PLC","Communication","Equity","32,962,296.90","0.07","32,962,296.90","21,191,286.00","1.56","United Kingdom","London Stock Exchange","GBP"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","32,907,132.15","0.07","32,907,132.15","35,335.00","931.29","United States","NASDAQ","USD"
"EXC","EXELON CORP","Utilities","Equity","32,781,880.80","0.07","32,781,880.80","751,878.00","43.60","United States","NASDAQ","USD"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","32,692,975.09","0.07","32,692,975.09","150,553.00","217.15","Germany","Xetra","EUR"
